Restaurant,Cuisine
Al Arees Restaurant & Grills,"Arabic, Lebanese"
Eat Route,"Arabic, American, International"
Zaam's Hyderabad Restaurant,"Indian, Chinese, Grills"
Latina,"International, Italian"
The Chickery,"Sandwiches, International"
Al Dhait Al Janoobi Cafeteria,"Sandwiches, Burgers"
Al Khafaef Cafe,"Arabic, Burgers, Cafe"
Fajr Al Sabah Restaurant,"Indian, Pakistani, Chinese"
Hadi Biryani,"Indian, Mandi, Arabic"
Marl's Organic Kitchen and Cafe,"International, Healthy"
Eva Kana,"Arabic, Lebanese"
Zaitouna House,Lebanese
Sah El Nom,"Lebanese, Arabic, Healthy"
Nota Cafe,Cafe
Massaad BBQ Restaurant,"Arabic, Lebanese, Sandwiches"
Chapter One Floral Cafe,Grocery
Tossed & Toast - Salads & More,Healthy
X Burger,"Burgers, Seafood, American"
Acai & More,"Healthy, Desserts"
Healthy Club Restaurant,"Healthy, Sandwiches, International"
Adams Bake Sweets,"Desserts, Bakery and Cakes"
Tuwar Kitchen and Restaurant,"Indian, Pakistani, Arabic"
Pirates of Arabia Restaurant and Cafe,"Burgers, American"
Rukn Flower,Flowers
The Lighthouse,International
Delhi Chatkaare Restaurant & Sweets,"Indian, Chinese"
Warag Enab Mahashi,"Arabic, Lebanese, International"
Amorino Gelato Cafe,Desserts
Zushi,"Japanese, Seafood, Asian"
Rionz Blends Cafe,"Sandwiches, Cafe, Pizza"
Ghaith Al Sham Grilling,"Arabic, Grills"
Fatayer Ala Al Tayer Cafeteria & Restaurant,"Cafe, Lebanese, Breakfast"
Masala Xpress,"Indian, Chinese, Healthy"
Thai Chi,"Chinese, Thai"
Kanaed Seafood Restaurant,Seafood
Patatello Cafe,"Cafe, Desserts, Burgers"
Burger Klub Cafe,"American, Burgers"
Golden Dalla Meals Restaurant,"Arabic, Cafe, Emirati"
Face Chicken,Sandwiches
Emirates Guests Restaurant & Grill,"Arabic, Mandi"
Shawarma Street,"Shawarma & Doner, Lebanese"
Al Hanouf Public Kitchen,"Arabic, Indian, Emirati"
Kalamaki Restaurant,"Italian, Grills"
Panucci,"Burgers, Italian, Pizza"
Mahashina Restaurant,"Arabic, Egyptian, Emirati"
Leopolds of London,"Breakfast, Healthy, Italian"
Sapori di BiCE,"Italian, Pizza"
Melt Cafe,"Cafe, Desserts, Burgers"
Rice Factory,"Pakistani, Indian"
Salalah Mashakeek,"Arabic, Grills"
Harees Al Waldah,"Emirati, Arabic, Desserts"
Potato And Pizza,Pizza
Golden Beans Specialty Food,"Specialty Store, Grocery"
Um Hassan,"Egyptian, Grills, Sandwiches"
Al Madeena Al Raqia Supermarket,"Grocery, Beverages, Snacks "
Unicorn Cafe,Cafe
Al Sheraa Patisserie,Desserts
Gourmet By Cafe Bateel,"Healthy, Bakery and Cakes, Breakfast"
Max Cafe,"Burgers, Italian, American"
Zuwar Restaurant,Arabic
Top Grills,"International, Indian"
Maw,"Burgers, American"
Kabab Ala Alseikh,"Arabic, Grills, Sandwiches"
Takumi,"Cafe, Desserts, Japanese"
Community Cafe,"Healthy, International, Breakfast"
Volcano Cafeteria,"Burgers, American"
Spice Route,Indian
LADS,"Burgers, Vegetarian, American"
Al Mubarakiyah Restaurant,"Emirati, Arabic, Seafood"
Tim Hortons Home Favorites,Grocery
Hamedo Seafood Restaurant,"Seafood, Arabic"
Emirates Hut,"Arabic, Beverages, Sandwiches"
Al Fanar Seafood Market,"Seafood, International"
Qrmeed Restaurant,"Arabic, Grills, Lebanese"
Akl Baity,"Arabic, Emirati"
The Yoghurt Lab,"Cafe, Healthy, Frozen Yogurt"
Tulip Restaurant,"Italian, International, Indian"
Shabab Al Qaraien Supermarket,"Grocery, Beverages, Snacks "
Nada Al Yasmeen,"Lebanese, Arabic, Breakfast"
Al Hamidieh Restaurant and Cafe,"Lebanese, Arabic, Breakfast"
Gresh And Managesh Restaurant,"Arabic, Sandwiches"
The Good Greek,International
Real Golden Fork,"Asian, Chinese, Seafood"
China Hot Rest,"Chinese, Indian"
Sutshi Cafe,"Japanese, Asian, Chinese"
Qaryat Pastry,"Pizza, Sandwiches, Desserts"
Dish Dash Restaurant & Coffee Shop,"Arabic, Lebanese, International"
Pide Concept,"Pizza, Turkish"
Gulf Mandi Restaurant,Mandi
Makkah Pharmacy,Pharmacy
Hamburgheni Burger,"Burgers, Italian, Japanese"
Red Chilly Restaurant,"Indian, Pakistani, Asian"
New York Pizza,"Pizza, Sandwiches, Burgers"
Rose Oud Boutique Flower,Flowers
Farmer Bites,"Sandwiches, International, Healthy"
Charsi Restaurant,"Arabic, Grills, Mandi"
Rambo Restaurant,"Burgers, Sandwiches"
All The Perks Espresso Cafe,Cafe
acai ko cafe,"Cafe, Healthy, Beverages"
Mambo Pizza Gourmet,"Pizza, Sandwiches, Italian"
Dana Chicken House,Fried Chicken
Notes Cafe,"Breakfast, Cafe, Desserts"
Tornado,"Cafe, Desserts"
Mange Tout Gifts,"Specialty Store, Grocery"
Weirdough,"Pizza, Asian, Indian"
Protein House,Healthy
Curries And Grains,Indian
Eaters Restaurant,"American, Burgers, Healthy"
Al Raaheeb Ice Cream,"Beverages, Desserts"
Meals Corner Restaurant,"Arabic, Chinese, Indian"
Looshi's,Desserts
Arz Lebanon,"Lebanese, Breakfast"
Sweet Corner,"Desserts, Beverages"
Al Matbakh Al Kuwaiti Restaurant,Arabic
FROSTY ICE CREAM,"Desserts, Frozen Yogurt"
Bake Home Pastry & Sweets,"Breakfast, Desserts"
Manaqesh & Pizza House,"Arabic, Breakfast, Pizza"
Il Faro,International
La Baguette De L'Entrecôte,"Sandwiches, International"
Al Akkawi Flower Grills,"Lebanese, Arabic, Breakfast"
Karak Babu,Emirati
Barid Wisrsih Cafe,"Fresh Juice, Healthy, Snacks "
Freez,Desserts
Ice Pack,"Desserts, Frozen Yogurt, Beverages"
21 Emirati Cafe,"Burgers, Desserts"
Markette,International
Fitbox,"Italian, Cafe, Healthy"
Khazana Grain of Salt,"Indian, Vegetarian"
Candy Hearts,"Specialty Store, Desserts"
La Gaufrette,"Lebanese, Sandwiches, International"
Blends & Brews,"Cafe, Fast Food, Beverages"
Zadna Restaurant And Kitchen,"Emirati, Indian, Egyptian"
Sketch Cafe,"American, Burgers"
Losteria Restaurant,"Arabic, International"
Cappuccini Italiani,"Beverages, Cafe"
Qarmoosha,"Arabic, Emirati"
Pak Arab Chicken Tikka,Arabic
Cake Rocks Bakery & Coffee Shop,"Bakery and Cakes, Breakfast, Desserts"
Mori Sushi,Japanese
The Healthy Shop,"Japanese, Mexican, Healthy"
DRIPS CAFE,"Cafe, Desserts, Beverages"
Shako Mako Burger,"Burgers, International, Arabic"
Al Ayan Cafe,"Pizza, Burgers, Italian"
1 Million Juice,Beverages
Gelato La Rosa,"Desserts, Italian, Cafe"
Al Sultan Markets & Bakeries,"Desserts, Breakfast"
Sweets 100,"Specialty Store, Desserts"
The Original Taste,"Indian, Pakistani, Grills"
Cafe De La Rosa,"Cafe, Desserts"
Keif,"Lebanese, Sandwiches, Arabic"
Yalla Momos,"Asian, Chinese, Indian"
Address Cafeteria,"American, Burgers"
Rawnaq Al Madinah restaurant,Indian
Vitaminat Land Juices,"Beverages, Desserts"
Shawerme,"Shawarma & Doner, Arabic"
Deccan Delight,"Indian, Pakistani, International"
Fizzy Effect,"Beverages, Desserts, Frozen Yogurt"
Zero kelvin ice cream & Juices,Beverages
Marys House Restaurant,"Arabic, Emirati, International"
Aqua Pharmacy,Pharmacy
The Mattar Farm,"Sandwiches, American, Burgers"
Cafeteria Hermosa,Indian
Biryani Al Firdous Restaurant,Indian
Al Aseel Restaurant,"Chinese, Indian, Seafood"
Ishara Cafeteria,"Fast Food, Grills, Indian"
Milk Bakery And Cafe,"Bakery and Cakes, Cafe, Desserts"
Yamanote Atelier,"Bakery and Cakes, Breakfast, Japanese"
Lebanese Restaurant & Grills,"Arabic, Lebanese, Emirati"
Arafat Sweets,"Arabic, Desserts"
Whisper Restaurant,"Arabic, Healthy, International"
Asian Bowl,"Chinese, Grills, Indian"
Healthy Minds by Qualifier,Healthy
Rani Flowers,Flowers
Nukkad pe Bhukkad,"Indian, Healthy"
Public Cook,"Arabic, Emirati, International"
Eat 'n' Joy,"Sandwiches, Beverages, Indian"
Mosaic Restaurant,"Arabic, Grills, Lebanese"
Iris Flowers,Flowers
Coffee Box,"Cafe, Desserts"
Route Burger,"American, Burgers"
Stack Restaurant,"American, Italian, Beverages"
Suruchi Restaurant,"Breakfast, Indian, International"
Baldwin Cafe,"International, Burgers, Sandwiches"
QASHTA W LOZ JUICES,"Beverages, Desserts, Frozen Yogurt"
The Paella Co.,Italian
Sea Land Restaurant,"Seafood, Arabic, Indian"
Sushi Express,Japanese
Al Reef Al Shami Cafeteria,"Arabic, Sandwiches"
Mothers Kitchens,"Asian, Indian, Pakistani"
Dine Out City Restaurant And Cafe,"Pakistani, Arabic, Grills"
Mhammash,"Arabic, Breakfast, Lebanese"
Puns,Healthy
Just Wing it,"American, International"
Greek Doner,"Shawarma & Doner, Burgers, Turkish"
Daily Express Restaurant,"Pakistani, Asian, Indian"
Shay Al Faham,"Sandwiches, International, Burgers"
Hope dates,Specialty Store
Spice Box,"Asian, Chinese"
Q6 Bistro,"Breakfast, Cafe, International"
Prime Gourmet Sandwiches,"Mexican, Sandwiches, Beverages"
Kava Cafe,Cafe
Pipes Shisha Lounge & Cafe,"Burgers, Cafe, Pizza"
Name Burger,"American, Burgers"
Brisk,"Healthy, International"
Boardwalk Cafe,"Burgers, Cafe, Pizza"
Elephant D'or Chocolate,"Specialty Store, Chocolate "
Chelsea Burger,"Burgers, American"
Al Midan Al shami,"Arabic, Breakfast, Pizza"
Sumo Sushi and Bento (Jumeirah Lake Towers),Japanese
Last Resort Cafe,"Burgers, Italian, American"
Baba Sanfoor,"Arabic, Beverages, Italian"
Baytak Bakery,"Arabic, Bakery and Cakes, Breakfast"
Healthy Snack Bakery & Cafe,"Cafe, Healthy"
Molten Chocolate Café,"Desserts, Beverages, Breakfast"
Dhabian Restaurant,"Emirati, Beverages, Mandi"
H K CAFE,"Cafe, Desserts, International"
Qsa Cafe,Cafe
Burgerchi,"American, Burgers"
Oasis Garden,"Chinese, Thai, Asian"
Ameer Al Madeena Restaurant & Cafeteria,"Pakistani, Chinese, Indian"
Katsusu,"Japanese, International"
Que Club,"American, Burgers, Sandwiches"
Al Farouj Al Demaskhi Restaurant,"Arabic, Sandwiches"
Ahl Al Mandi Restaurant,Mandi
Station BBQ,American
Magic Corn,"Indian, International, Arabic"
Royal Grill Restaurant,"Asian, Grills, Indian"
Asian Taste Restaurant,"Asian, Desserts"
Qasr Al Lulu Restaurant,"Arabic, Indian, Pakistani"
Taco District,"Mexican, International"
ALTHIQA  PHARMACY,Pharmacy
7 Eleven,"Grocery, Beverages, Snacks "
The Biryani Company,Indian
Hamasat Cafeteria,"American, Burgers"
Al Nahda Flowers,Flowers
Tea Book Cafe,"Beverages, Burgers, International"
Pick+Mix,"International, Arabic, Desserts"
Shogun Restaurant,"Asian, Japanese, International"
BBQ Station,"Burgers, Seafood, American"
I LOVE BURGERS,"American, Burgers, Beverages"
BBQ Kabab,"Arabic, Iranian, Emirati"
Al Jalsah Al Shaabi,"Arabic, Mandi"
Joe's Crab Shack,"Seafood, American"
Chicken Strip Joint,"Fast Food, Wings, Fried Chicken"
Diet and Cheat Cafeteria,"Healthy, Beverages"
Wafi Gourmet,"Lebanese, International, Arabic"
Soil,"Grocery, Specialty Store, Healthy"
SoulFull Restaurant,"Healthy, Sandwiches, Breakfast"
X Burger,Burgers
Absolute Barbecues,"Indian, Asian, Desserts"
Chickees Fried Chicken,"American, Burgers"
Dukkan Burger,"American, Burgers, Desserts"
40 fruity refreshments,Fresh Juice
Burger28,"Burgers, Fast Food"
Manoushe House,"Arabic, Bakery and Cakes"
Hail Kitchen,"Mandi, Emirati, Arabic"
Velo Cafe,"Cafe, International, Breakfast"
Iranian Sweets,"Specialty Store, American, Iranian"
House Of Biryani,Indian
AlPasha Gourmet By Doner Basha,"Arabic, Breakfast, Sandwiches"
Food Inn,"Arabic, Pakistani, International"
Biryani Center Restaurant,"Arabic, Grills, Indian"
OVO Cafeteria,"American, Burgers, Italian"
Massaad Barbecue Farm To Table,"Arabic, Lebanese, Sandwiches"
LILY FLEUR,Flowers
Bakeology,"Bakery and Cakes, Desserts"
The Biryani Life,"Indian, Arabic, Grills"
Bahar Al Khaleej,"Arabic, Breakfast, International"
Caracas Restaurant,"Lebanese, Breakfast"
Umami Restaurant,"Japanese, Asian"
Sidra Biryani House,"Indian, International"
Royal Orchid Chinese & Thai Restaurant,"Asian, Chinese"
Nujoom Chennai,"Breakfast, Indian"
Waffee Street,"Cafe, Desserts"
Tasha Restaurant,"Egyptian, Arabic"
Al Meem Gifts,"Flowers, Specialty Store"
Cafe Ceramique,"International, Sandwiches"
Marmarita,"Lebanese, International, Italian"
971 Emirati Gourmet,"Arabic, Emirati"
Wild Leaves Restaurant,"Indian, Chinese, Grills"
Crafty Boutique Gifts & Flowers,Flowers
Drizzle,"Burgers, Beverages"
Hazara Restaurant,"Arabic, Indian, Pakistani"
Al Layaqah Cafe,"Breakfast, Cafe, Healthy"
Diners World,"Indian, International, Asian"
Roshen,"Specialty Store, Chocolate "
Atlantic Fish and Chips,Seafood
Masala And Co Restaurant,"Pakistani, Indian"
Riders Station,"Burgers, Cafe, Sandwiches"
Filful,"Lebanese, Sandwiches, Breakfast"
Bouza Roll,"Specialty Store, Chocolate , Desserts"
Tableya Masreya,"Egyptian, Arabic, Sandwiches"
Sagar Ratna,"Indian, Vegetarian"
Desi Khazana,"Indian, Pakistani"
Keventers,"Beverages, Desserts"
Al Mashmum Restaurant,"Emirati, Arabic, Lebanese"
Alaska Ice Cream,"Cafe, Desserts, Healthy"
Kabab AlBosnia Restaurant,"Grills, Sandwiches, Turkish"
Chiyang Restaurant,"Asian, Chinese"
Rawabina Restaurant & Sweets,Arabic
SHEAAB AL MADEENA,"Pakistani, International, Indian"
Jimmy Burger,"American, Burgers"
Al Jazera Pastry,"Arabic, Breakfast, Pizza"
Fattah We Warq,"Arabic, Lebanese"
Affogatoh Cafe,"Cafe, Desserts, Frozen Yogurt"
Lebanese Café,"Arabic, Lebanese"
Karak AlMqanes Cafe,"Arabic, Cafe"
Sthan,"Indian, Pakistani, Vegetarian"
El Batangueno Restaurant,"Asian, International"
Chandni Chowk,"Indian, Pakistani"
"Quick Mood Cafe,yahar","Cafe, Desserts, Beverages"
Asian Factory,"Asian, Chinese"
Cuba Cafe,"Cafe, Grills, International"
Shawarmaz,"Shawarma & Doner, Sandwiches"
Burger and Pasta In Box,"Burgers, Italian, International"
Zafraani Swaad,"Indian, Vegetarian, Grills"
Manoushet Darna,"Arabic, Lebanese"
Themar Al Bahar Fish Cooking,"Seafood, International, Grills"
Le Burger,"Burgers, Vegetarian"
Cafe Blanc,"Lebanese, Sandwiches, Arabic"
Shawarma Houzz Restaurant,Arabic
Tribes,International
Labenah & Zaatar,"Arabic, Italian, Lebanese"
Fat Burger,"Arabic, Burgers"
Xshot,"Cafe, Desserts"
Kohinoor Food Bay,"Indian, Pakistani"
United Pharmacy,Pharmacy
Delhi Nihari,"Indian, Pakistani, Breakfast"
Alddijaj Almumiaz Restaurant,"Arabic, Shawarma & Doner"
Carnival By Tresind,"Indian, International, Asian"
7 Spice London,"Indian, International"
BBQ Hut Cafeteria,"Arabic, Indian, Pakistani"
AlForen Pastries,"International, Arabic, Pizza"
Miamix Restaurant,"Asian, Bakery and Cakes, Snacks "
Kura Kura Restaurant,"Breakfast, Indian, Vegetarian"
Sbarro,"Pizza, Italian"
Al Ghaar,"Indian, Vegetarian, Breakfast"
Papaya Juices,"Cafe, Desserts, Beverages"
Yashar Palace Restaurant,"Iranian, International, Grills"
AlFayrouz,"Arabic, Grills, Egyptian"
Maraa Al Sham Butchery,Butchery
MOG,"American, Healthy"
Origami Sushi,"Japanese, Asian, Healthy"
Ushna,Indian
Lena Lu Bomboloni,"Bakery and Cakes, Desserts"
Charco Shawarma Restaurant,"Arabic, Shawarma & Doner, Lebanese"
Al Forno,"Italian, Pizza, Burgers"
Grand Mahal,"Chinese, Indian"
Pizza Zone,"Pizza, Italian"
Bint Al Balad Cafeteria,"Egyptian, Arabic, Sandwiches"
Funny Time Cafeteria,"International, Beverages"
Signature Grill,"American, Grills, Healthy"
Indian Pavilion,Indian
Fish Market,"Arabic, Seafood"
Ligabue,"Italian, International, Arabic"
Arya Rose Flowers,Flowers
SIAM PALACE,"Asian, Chinese, Thai"
Amazone Cafe,"American, Healthy"
Juice World,Beverages
Tea Talk Session Cafeteria,"Sandwiches, Burgers"
Broasted & Shawarma Galleria,Shawarma & Doner
Canteen Asia,"Asian, Chinese, Thai"
Wendy's,"Burgers, Sandwiches, American"
Hola Empanada,"Mexican, Pizza, Burgers"
Murano,"Sandwiches, Arabic, Pizza"
3D Burger,"American, Burgers"
Makati Bakery And Restaurant,"International, Asian, Seafood"
Nakhat Alsham Restaurant,"Lebanese, Arabic"
Burgerat Restaurant,"American, Burgers"
Shay Madhboot,"Arabic, Breakfast, Emirati"
Abzi`s House of Burger,"American, Burgers"
Maleh & Helow,Desserts
Go! Noodle,"Chinese, Asian"
Poke & Sushi,"Healthy, Japanese, Mexican"
Al Farah Pharmacy,Pharmacy
Sadaf Restaurant & Cafe,"Grills, Indian, Pakistani"
Ltl Rolls,"Seafood, Healthy"
Sandwich & CO,"Arabic, Lebanese, Sandwiches"
Shaikh Al Mandi Restaurant,"Mandi, Arabic"
Beirut Wraps,"Lebanese, Sandwiches, Arabic"
Brdg Concept Cafe,"American, Breakfast, Cafe"
Dar Al Mandi & Madhbi,Mandi
Azkadenya,"Arabic, Lebanese"
Ice & Berry,"Chocolate , Desserts, Sandwiches"
Qabala Restaurant,"American, Burgers, Indian"
Beyalah Cafe,"Arabic, Emirati"
Sufrat Al Khan,"Asian, Grills, Arabic"
H2o Cafe & Burger,"Burgers, American"
Cak Thai,"Desserts, Thai, Asian"
Otlob & Jarep,"Shawarma & Doner, Lebanese, Arabic"
Arabesk,"Arabic, Sandwiches"
Jamaa Alfanaa Restaurant,"Arabic, Beverages, Desserts"
Macros,"Healthy, Sandwiches"
Flat White cafe,"Breakfast, Cafe, International"
Speranza Pizzeria Pizza & Pasta,"Italian, Pizza, Desserts"
Coop Restaurant,"Arabic, Lebanese"
Jamba Juice,"Healthy, Cafe"
Turkish Corner Restaurant,"Turkish, Arabic"
Teuscher Chocolates of Switzerland,"Desserts, Sandwiches, Beverages"
DED cafe,Cafe
Bagels & More,"American, Breakfast"
Kaak Al Manara,"Lebanese, Arabic"
Mumbai Multifood Restaurant,Indian
Shatee Al Fouj,"Beverages, Japanese, Sandwiches"
Waffle and Crepe,"Desserts, Cafe"
Sandwichy,"Sandwiches, Burgers, Desserts"
Grand Cafe Boulevard,"Pizza, Desserts, Lebanese"
Little Neighborhood Restaurant,"International, Burgers, Healthy"
Cak Thai,"Desserts, Thai, Asian"
Curry Chatti Restaurant,"Chinese, Indian, Vegetarian"
Itokito Japanese Cafe,"Cafe, Desserts, Japanese"
Raydan Kitchen & Restaurants,"Arabic, Mandi"
Zaitoon Multi Cuisine Restaurant,"Indian, Asian, Chinese"
Karakateria Cafeteria,"Arabic, Burgers, Chinese"
Zenzi Thai,Thai
Indiana Delights,"Indian, Vegetarian, Chinese"
Bull & Bear,"American, Cafe, International"
Knafa Alsham Bakery And Sweets,"Bakery and Cakes, Desserts, Beverages"
Fuel Up by Kcal,"Breakfast, Healthy, Sandwiches"
Al Qasr Al Emarati Kitchen & Restaurant,"Arabic, Mandi, Emirati"
Papa Murphy's Pizza,"Pizza, American"
Al Soudi Al Yamni Restaurant,"Mandi, Arabic"
Acai BB,"American, Healthy"
UNDER500,Healthy
BLOOM Vegan Kitchen,"Healthy, Vegetarian, International"
Shefaa Al Madeena Pharmacy,Pharmacy
Five J Bakery,"International, Desserts, Japanese"
Qoot,"Healthy, International, Desserts"
Arabian Corner Restaurant,"Arabic, Grills"
Loku Bites,"Breakfast, Cafe, Desserts"
Xsliders,"Sandwiches, American, Burgers"
Al Dar Inn Restaurant,"Arabic, Italian, Pizza"
Najmat Lahore,"Pakistani, Breakfast, Indian"
Quattro Restaurant,"Sandwiches, Shawarma & Doner, Breakfast"
Burger Bar,"Burgers, International"
Acai & Poke,"Healthy, Seafood, Desserts"
Nour Al Madar Mandi Restaurant,"Mandi, Arabic"
Burger Junction Cafeteria,Burgers
Saj W Lazeez,"Arabic, Breakfast, Sandwiches"
Wawan Muscle Restaurant,"Breakfast, Healthy"
Alberto's Risotto,"Healthy, Italian, Beverages"
Dahab Restaurant & Lounge,"Arabic, Lebanese"
Din Tai Fung,"Asian, Chinese"
Al araish fast food,"Arabic, Shawarma & Doner, Burgers"
Gnadio Specialty Coffee x Fine Food,"Cafe, Desserts, Beverages"
Made With Love,"Burgers, International, Breakfast"
Reel Cinemas,"Beverages, Cafe"
Kiwan Sweets,"Specialty Store, Desserts"
Al Esharah Cafeteria,"Burgers, Sandwiches"
Square One Restaurant,"International, Healthy"
Itran Restaurant,Arabic
Piadera,"Italian, Healthy"
Astoria,"Burgers, American"
Charley`s Philly Steaks,"American, Breakfast, Sandwiches"
Al Tasamoh Grocery,Grocery
La Fragola Cafe Gelateria,"Desserts, Italian"
Marrybrown,"Fried Chicken, Burgers, Sandwiches"
Little Berry Ice Cream Shop,Frozen Yogurt
Fatayer 3 ltaier,"Arabic, Breakfast"
Aroos Al Nile Restaurant,"Egyptian, Seafood"
Dulcis cafe,"Cafe, Sandwiches, Breakfast"
Bab Meknes,"Arabic, Grills, Mandi"
Zaharat AlFareej Restaurant,"Arabic, Emirati"
Healthy Green,"Grills, Healthy"
Thadkar Refreshments,"Sandwiches, Shawarma & Doner, Burgers"
Al Afrah Sweets,"Specialty Store, Chocolate , Flowers"
Poke & Ceviche,Healthy
Kwality Restaurant,"Indian, Thai, Chinese"
Health Box,"Healthy, International"
La Burrata Italian Restaurant,"Italian, Pizza"
Chainak Cafe,"Burgers, International"
Funky Bake Cup Cafe Cake,"Bakery and Cakes, Cafe"
Daily Dose Coffee Lounge,"Breakfast, Desserts, International"
Jasmint Restaurant,"Thai, Asian, Chinese"
Bas Man'ouche,"Lebanese, Arabic, Breakfast"
Pizza Italiana,"Italian, Pizza"
Fruitesca Juice,"Desserts, International, Beverages"
Under 300,"Desserts, Healthy, Vegetarian"
Florabella Flowers,Flowers
Har and Hello,"Beverages, Burgers, Indian"
Wazzup Dog,Sandwiches
Peppermill,Indian
Kerala Restaurant,Indian
Bon Fire,American
Slider Makers,Burgers
Falafel Station,"Sandwiches, Vegetarian"
Miasuh Waghazlan Cafeteria,"Emirati, Beverages, Sandwiches"
Johnny Rockets,"Burgers, Sandwiches, American"
Healthy Way Cafeteria,American
KungFu Dragon,"Thai, Asian, Chinese"
Meat N More,Butchery
Yakisoba Wave Restaurant,"Japanese, Thai, Chinese"
Hakka Wakka,"Chinese, Asian, Soups"
Favas Eatreey,"International, Beverages"
Coffee Bank,"Specialty Store, Cafe"
Salad_Up,Healthy
Khorfakan Shabi Restaurant,"Arabic, Seafood, Emirati"
Sugar Factory,"American, Italian, Arabic"
Beit Elzaytoun Restaurant,Lebanese
Arsalan,Iranian
Nata Lisboa,"International, Sandwiches, Turkish"
Alnouman for Mandi & madhbi,"Arabic, Mandi"
Rokn Al Mezher Pharmacy,Pharmacy
Al Shahiq Cafeteria,"American, Burgers, Beverages"
M&J Florista Blooms & Balloons,Flowers
Filipino Thai Restaurant,"Asian, Chinese, Thai"
Sangeetha Vegetarian Restaurant,"Indian, Vegetarian, Snacks "
Terqwaz Blue,"Arabic, International"
Manha Al Madeena Supermarket,Grocery
Mumtaz Chicken,"American, Burgers"
Amwaj Cafe and Cafeteria,"American, Breakfast, Arabic"
Dine by Dish,"Sandwiches, International"
Chowpatty Xpress Restaurant,"Indian, Snacks , Chinese"
Victoria Cafe,"American, Burgers, Sandwiches"
al ghadoof,"Arabic, Breakfast, Emirati"
Amigos Express,"International, Mexican"
Lammah,"Burgers, International, American"
Al Khaleej Al Latheethah Pastry,"Arabic, Bakery and Cakes"
Eighties Restaurant,"American, Burgers, Italian"
FOOD COURT bySWHK,"Salads, Wings, Bowls"
Baba Mahmoud,"Arabic, Beverages, Healthy"
Shri Krishna Bhavan,Pakistani
CIO By Cafe Barbera,"Grills, Healthy, Fresh Juice"
Truck Burger,"Burgers, American"
Al Buhaira Pastry,"Arabic, Breakfast, Lebanese"
L`arum Flowers and Chocolate,"Flowers, Chocolate "
Sweety Shawarma,"Desserts, Chocolate "
Zaza Restaurant,Turkish
Aseer And Shawarma Cafe,Burgers
Flat Cafe,"Beverages, Cafe, Desserts"
Veg Zone,"Asian, Chinese, Vegetarian"
Gifto's Of London,"Indian, Pakistani"
State 88,"International, Burgers, Desserts"
Pokai,"Healthy, Seafood, Vegetarian"
Poem Bistro Cafe,"Desserts, Italian, International"
Caffe Undici,"Arabic, International"
Center Fresh Juice,"Cafe, American"
China Lane,"Asian, Chinese, Vegetarian"
Scala Restaurant,"Lebanese, International, Arabic"
Al Reyadi Diet Food Restaurant,"Healthy, Breakfast"
Dilli Cious Restaurant,Indian
Iranian Guys Restaurant,Iranian
Britbalti Restaurant,Indian
Huff and Puff Burger,Burgers
Gnadio,"Beverages, Cafe, Desserts"
Madfoon AL Saada,"Arabic, Mandi, Emirati"
Foil and Broil,"International, American"
The Spicy Pakora,"Indian, Asian, Chinese"
Cook Connect,"Healthy, Sandwiches"
Faal Al Khair,"Sandwiches, American, Burgers"
Fateraty,"Arabic, Bakery and Cakes, Breakfast"
Spicy Hut,Indian
Moms Crepe,"Desserts, Arabic, Chocolate "
Bhai Kadai Biryani,Indian
Al Jawal Cafeteria,"Burgers, American"
Pizza Bite,"Pizza, Sandwiches, Burgers"
Gerard,"Breakfast, Cafe, Italian"
Darb Al Zalaq Restaurant,"Arabic, Breakfast, Grills"
Koshary One,"Egyptian, Shawarma & Doner, Lebanese"
Coriander Restaurant,"Indian, Pakistani, International"
Nido,"Healthy, Italian, International"
Farrouj Hut Cafeteria,"Burgers, Beverages"
Haagen Dazs,"Desserts, Frozen Yogurt"
Al Hallab Bab El Bahr,"Lebanese, Arabic"
Qiso Cafe,"Healthy, International, Cafe"
Billo Ice Cream (Old),Desserts
Qwaider Alnabulsi Sweets,"Desserts, Arabic"
Ming Bowl Restaurant,"Indian, Chinese"
Little Grove,"Italian, Sandwiches"
Wooden Bakery,"Bakery and Cakes, Breakfast"
Just Salad,Healthy
Menaa Marseille Bakery,"Bakery and Cakes, Desserts, Asian"
Hakkasan,"Asian, Chinese"
Khwab Restaurant,"Indian, International"
Indian By Nature Restaurant,"Indian, Vegetarian, Breakfast"
Anand Al Saeed Restaurant,"American, Indian"
Blu Fine Chocolate,"Specialty Store, Grocery"
Kokoroo,"Arabic, International"
Pistahan Restaurant,"Asian, Healthy, Seafood"
Albal Man'oushe Pastry & Snacks,"Breakfast, Lebanese, Pizza"
Rauchi Restaurant,"Japanese, Thai, Chinese"
Right Bite Express,"Healthy, Sandwiches, Salads"
Ducky Cafeteria,"Sandwiches, Beverages, Burgers"
Paratha Hut Restaurant,Indian
Middle Eastern Combos,Arabic
Jones The Grocer,"Breakfast, Burgers, Healthy"
Yalla Acai,"Beverages, Healthy"
Al Sahari Restaurant And Grills,"Breakfast, Lebanese, Sandwiches"
al pacino burger,"Burgers, Sandwiches, Beverages"
New Chicken Hut Cafeteria,"American, Sandwiches, Beverages"
Il Caffe Di Roma,"Italian, Pizza, Sandwiches"
Karaz Alsham Restaurant,"Arabic, Shawarma & Doner, Lebanese"
Xian Chinese Restaurant,"Chinese, Seafood, Thai"
